,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,dist_pickup_to_wall_street
1111,id3808990,2,2016-02-12 10:07:42,2016-02-12 10:21:47,3,-74.0074462890625,40.7100715637207,-73.97742462158203,40.74635314941406,N,845,0.4281166516417022
1133,id1478457,1,2016-03-23 21:04:23,2016-03-23 21:25:33,1,-74.00961303710938,40.71004104614258,-73.94277954101562,40.701271057128906,N,1270,0.3263578814009596
1149,id1922759,1,2016-01-16 08:25:12,2016-01-16 08:31:00,4,-74.00604248046875,40.70775985717773,-73.97569274902342,40.719085693359375,N,348,0.417404955029423
1277,id0270658,2,2016-01-30 13:15:38,2016-01-30 13:30:38,2,-74.00557708740234,40.70655059814453,-73.9830093383789,40.74795913696289,N,900,0.46080129505231493
1509,id3106803,2,2016-02-29 14:10:56,2016-02-29 14:17:21,6,-74.01165008544923,40.71026992797852,-74.00467681884766,40.72712326049805,N,385,0.3369361268393508
1574,id3486120,1,2016-02-11 10:02:43,2016-02-11 10:38:51,1,-74.01020812988281,40.70994186401367,-73.9852294921875,40.75972366333008,N,2168,0.3017624979181974
1631,id2959103,1,2016-05-31 14:06:56,2016-05-31 14:36:53,1,-74.00754547119139,40.704944610595696,-73.9715347290039,40.76561737060547,N,1797,0.3882023957361671
1665,id1257977,2,2016-05-04 20:23:40,2016-05-04 20:40:57,6,-74.0077133178711,40.704944610595696,-73.9473876953125,40.77557373046875,N,1037,0.37784040217687287
1700,id2947100,2,2016-01-05 18:11:50,2016-01-05 18:22:15,1,-74.01138305664062,40.703285217285156,-73.97724151611328,40.734046936035156,N,625,0.4472961298383759
1712,id0158328,2,2016-02-04 11:00:44,2016-02-04 11:09:50,1,-74.01171875,40.70378875732422,-74.01227569580078,40.7138786315918,N,546,0.3951101311743422
1770,id1092604,2,2016-01-06 19:12:45,2016-01-06 19:33:13,1,-74.00743103027342,40.70495223999024,-73.9870834350586,40.74711227416992,N,1228,0.3948423470600631
1798,id3952563,1,2016-01-30 20:48:10,2016-01-30 21:14:41,1,-74.01068878173827,40.7103385925293,-73.98805236816406,40.759674072265625,N,1591,0.3400755667400518
2046,id3438200,2,2016-04-30 14:16:29,2016-04-30 14:44:03,1,-74.01248931884766,40.70711135864258,-73.9639129638672,40.678260803222656,N,1654,0.13140754863369114
2142,id0729228,1,2016-03-23 22:47:15,2016-03-23 23:00:41,1,-74.0059051513672,40.70602798461913,-73.95164489746094,40.78042221069336,N,806,0.4482898886370375
2148,id0556596,1,2016-06-27 12:28:01,2016-06-27 13:01:05,1,-74.01118469238281,40.70956039428711,-73.97398376464845,40.76461791992188,N,1984,0.25350842925366956
2156,id1153201,1,2016-06-05 11:21:24,2016-06-05 11:25:40,1,-74.01510620117188,40.70954513549805,-74.00977325439453,40.71569442749024,N,256,0.431296924828008
2194,id2082215,1,2016-02-19 18:15:06,2016-02-19 18:20:04,1,-74.00677490234375,40.705509185791016,-73.99726867675781,40.71429443359375,N,298,0.40425740125383214
2244,id1391668,2,2016-05-24 07:36:48,2016-05-24 07:40:58,2,-74.00995635986328,40.7114486694336,-74.00475311279298,40.71617889404297,N,250,0.4704626212007204
2464,id3984294,2,2016-02-22 08:43:07,2016-02-22 08:52:29,1,-74.01438140869139,40.70390319824219,-74.01081848144531,40.71882629394531,N,562,0.4753765245454742
2507,id3119282,2,2016-01-22 11:21:16,2016-01-22 11:23:21,1,-74.00997924804686,40.70534133911133,-74.0068817138672,40.70808029174805,N,125,0.2318715210790517
2572,id2494046,1,2016-03-30 14:14:38,2016-03-30 14:41:33,1,-74.0105972290039,40.70416641235352,-73.9746551513672,40.748348236083984,N,1615,0.3489807197916796
2597,id3499099,2,2016-03-23 22:44:05,2016-03-23 22:46:54,5,-74.00920867919923,40.70564651489258,-74.00479888916014,40.70964813232422,N,169,0.234652493222554
2696,id2680471,1,2016-02-17 14:21:38,2016-02-17 14:25:20,3,-74.01481628417969,40.70488357543945,-74.01393127441406,40.7137107849121,N,222,0.42214027847412045
2873,id1870184,2,2016-05-20 10:02:48,2016-05-20 10:15:31,1,-74.00702667236328,40.70796585083008,-74.00837707519531,40.72000122070313,N,763,0.3395054626920839
3043,id0942123,2,2016-03-08 17:17:48,2016-03-08 17:28:40,6,-74.01177215576173,40.70352554321289,-74.00933837890625,40.71527099609375,N,652,0.4247528592631905
3084,id2862272,2,2016-01-18 11:44:57,2016-01-18 12:08:02,1,-74.01367950439453,40.70806121826172,-73.97997283935547,40.760658264160156,N,1385,0.24580473069084285
3103,id0845447,2,2016-05-02 23:45:26,2016-05-03 00:21:27,1,-74.01138305664062,40.70323944091797,-73.8463363647461,40.71778106689453,N,2161,0.45237497969909524
3186,id2376983,1,2016-01-30 00:20:47,2016-01-30 00:39:33,1,-74.00906372070312,40.71075820922852,-73.98304748535155,40.76124954223633,N,1126,0.4175945384192766
3253,id1075547,2,2016-03-03 20:30:33,2016-03-03 20:44:55,1,-74.01319885253906,40.705848693847656,-73.98342895507811,40.69440078735352,N,862,0.248503658963963
3306,id1046738,2,2016-01-13 09:39:54,2016-01-13 09:47:31,6,-74.01546478271484,40.70999526977539,-74.00920867919923,40.73124694824219,N,457,0.4856167485345896
3393,id2798929,1,2016-06-12 11:57:33,2016-06-12 12:09:23,1,-74.01598358154298,40.705093383789055,-74.00496673583984,40.73389434814453,N,710,0.49011480782579636
3471,id2190862,1,2016-04-03 13:28:23,2016-04-03 13:41:56,2,-74.01116943359375,40.71015930175781,-73.9908218383789,40.73800659179688,N,813,0.3199386105798295
3615,id2239615,2,2016-04-18 04:14:47,2016-04-18 04:26:57,2,-74.00631713867188,40.709659576416016,-73.95481872558594,40.77500915527344,N,730,0.4715987269292478
3750,id1792693,1,2016-01-31 10:41:34,2016-01-31 10:58:03,1,-74.00553131103516,40.70642471313477,-73.97618103027344,40.76054382324219,N,989,0.46728903499830715
3818,id2465018,1,2016-06-22 15:33:28,2016-06-22 15:58:45,1,-74.0060043334961,40.70664596557617,-73.97715759277344,40.75227737426758,N,1517,0.423450544241986
3859,id3968643,1,2016-05-22 00:23:29,2016-05-22 00:37:38,2,-74.00946044921875,40.70896530151367,-73.99476623535155,40.74382019042969,N,849,0.22489350291489432
3900,id2907558,1,2016-04-29 22:58:00,2016-04-29 23:04:16,1,-74.00691986083984,40.70792007446289,-73.99533081054686,40.717506408691406,N,376,0.347235330487072
3960,id0768869,2,2016-05-04 11:19:28,2016-05-04 11:31:27,1,-74.01316833496094,40.70478820800781,-74.00811004638672,40.71221160888672,N,719,0.33555944279547173
4079,id0234224,1,2016-04-07 22:35:36,2016-04-07 23:21:13,1,-74.01451873779298,40.70460891723633,-73.89807891845702,40.67649459838867,N,2737,0.4239862825832261
4122,id1366845,1,2016-03-11 17:15:17,2016-03-11 17:22:56,1,-74.00605010986328,40.70559310913085,-73.97663116455078,40.719215393066406,N,459,0.45458178244181896
4252,id2659776,2,2016-01-11 07:51:55,2016-01-11 08:14:09,5,-74.0156021118164,40.70950698852539,-73.96935272216798,40.760658264160156,N,1334,0.4636875846448782
4264,id1382179,2,2016-04-25 07:01:59,2016-04-25 07:11:56,2,-74.01293182373048,40.7076301574707,-73.99317932128906,40.74285125732422,N,597,0.17146712765141575
4368,id3980571,1,2016-01-29 17:03:48,2016-01-29 17:21:32,1,-74.00582885742188,40.7060546875,-74.0082473754883,40.742149353027344,N,1064,0.45349788955553183
4411,id0611940,2,2016-06-07 16:59:01,2016-06-07 18:15:56,2,-74.00949859619139,40.705604553222656,-74.1776351928711,40.695091247558594,N,4615,0.22405692025877627
4474,id2072050,1,2016-03-06 02:21:32,2016-03-06 02:41:24,1,-74.01441955566406,40.7081298828125,-73.9808120727539,40.7420768737793,N,1192,0.3073390176802231
4498,id1205436,1,2016-06-23 16:30:47,2016-06-23 16:57:57,1,-74.00887298583984,40.71088790893555,-73.98394775390625,40.76288986206055,N,1630,0.43717745247029416
4573,id0753784,2,2016-01-19 22:18:13,2016-01-19 22:26:24,1,-74.01152038574219,40.70370101928711,-74.0115509033203,40.713661193847656,N,491,0.4024039489415183
4656,id2214411,1,2016-05-03 09:39:21,2016-05-03 10:09:50,1,-74.01040649414062,40.71138381958008,-73.99241638183594,40.749271392822266,N,1829,0.45801402382698797
4720,id0423685,2,2016-04-03 19:17:54,2016-04-03 19:31:38,6,-74.00696563720702,40.70482635498047,-73.98861694335938,40.66299819946289,N,824,0.4338855570618332
4778,id3715428,1,2016-05-13 19:58:27,2016-05-13 20:13:33,1,-74.01448822021484,40.70474243164063,-74.00727844238281,40.74834442138672,N,906,0.4117878552420633
4847,id2731057,2,2016-06-17 17:49:51,2016-06-17 18:15:16,5,-74.01631927490234,40.70675277709961,-73.97389221191406,40.761226654052734,N,1525,0.4570127200217903
5118,id2204931,2,2016-06-09 13:42:42,2016-06-09 14:33:44,1,-74.00747680664062,40.70515060424805,-73.9803009033203,40.7507209777832,N,3062,0.3776453423480469
5307,id2476892,1,2016-05-07 07:14:01,2016-05-07 07:31:20,1,-74.00762939453125,40.70563888549805,-73.99508666992188,40.75004959106445,N,1039,0.3351103092333263
5313,id3853809,2,2016-03-17 01:10:03,2016-03-17 01:29:12,1,-74.01001739501955,40.7103385925293,-73.91804504394531,40.74185562133789,N,1149,0.3483654267974172
5412,id3309511,2,2016-02-17 09:16:11,2016-02-17 09:22:08,1,-74.0146255493164,40.70462417602539,-74.00548553466798,40.70692443847656,N,357,0.42925908881478175
5464,id1287112,1,2016-05-22 05:04:53,2016-05-22 05:42:02,1,-74.00706481933594,40.70526885986328,-73.78234100341797,40.6488151550293,N,2229,0.3976261190235581
5474,id0891347,1,2016-03-29 15:51:32,2016-03-29 16:05:24,1,-74.00904846191406,40.71092987060547,-74.0061264038086,40.739845275878906,N,832,0.43579417000770043
5476,id0758143,1,2016-06-26 19:34:47,2016-06-26 19:38:30,1,-74.00908660888672,40.71078872680664,-74.01671600341797,40.70472717285156,N,223,0.4200103645651993
5493,id2255044,1,2016-03-24 05:50:50,2016-03-24 05:58:15,1,-74.00963592529298,40.71006393432617,-73.99285125732422,40.74266052246094,N,445,0.32809206760766213
5540,id3526819,1,2016-04-01 20:33:42,2016-04-01 20:39:32,1,-74.00884246826173,40.70431900024415,-74.01598358154298,40.7109375,N,350,0.3755089682117539
5691,id3121807,1,2016-03-03 10:10:35,2016-03-03 10:35:50,1,-74.01327514648438,40.70606231689453,-74.01348114013672,40.70615005493164,N,1515,0.2391103983382653
5709,id1444196,1,2016-04-14 20:23:31,2016-04-14 20:38:37,3,-74.0106430053711,40.70921325683594,-74.00762939453125,40.74087142944336,N,906,0.2156529373578477
5799,id3881097,1,2016-04-13 01:57:57,2016-04-13 02:21:51,1,-74.00663757324219,40.70839309692383,-73.9400634765625,40.83436965942383,N,1434,0.3840564915421319
5922,id1920339,2,2016-05-20 17:46:40,2016-05-20 17:59:38,1,-74.00788116455078,40.7052001953125,-74.01178741455078,40.71672058105469,N,778,0.348109190066908
5928,id3486054,1,2016-04-08 20:49:02,2016-04-08 21:19:24,2,-74.01082611083984,40.70946502685547,-73.94317626953125,40.674888610839844,N,1822,0.24234326862299646
6135,id0222174,1,2016-04-01 11:32:49,2016-04-01 12:14:29,3,-74.00804901123048,40.70818710327149,-73.94967651367188,40.83077621459961,N,2500,0.26438135224690607
6136,id3357785,2,2016-04-08 18:14:18,2016-04-08 18:35:18,1,-74.0124740600586,40.70714569091797,-73.97762298583984,40.73402404785156,N,1260,0.12960593095923317
6171,id0872443,2,2016-06-20 19:01:17,2016-06-20 19:03:53,6,-74.00965118408203,40.71098709106445,-74.01384735107422,40.7024803161621,N,156,0.4258923712251264
6505,id2989212,1,2016-02-09 13:20:37,2016-02-09 13:36:02,1,-74.00890350341797,40.71095657348633,-73.99556732177734,40.74945831298828,N,925,0.44318067731877764
6899,id2679031,2,2016-02-25 12:05:52,2016-02-25 12:25:52,1,-74.01377868652342,40.70768737792969,-73.98904418945312,40.737388610839844,N,1200,0.2427595990884307
6996,id1635387,2,2016-01-26 19:30:06,2016-01-26 19:53:26,1,-74.00950622558595,40.706241607666016,-73.99095916748048,40.73394012451172,N,1400,0.16870977537411763
6999,id1414946,2,2016-05-11 14:46:24,2016-05-11 15:00:07,3,-74.01009368896483,40.70337677001953,-74.005126953125,40.721580505371094,N,823,0.4415622630799453
7048,id2098682,1,2016-02-26 05:00:10,2016-02-26 05:22:49,2,-74.00916290283203,40.704261779785156,-74.17694091796875,40.69471740722656,N,1359,0.36928840405642654
7064,id0187801,2,2016-03-15 16:17:14,2016-03-15 16:32:51,1,-74.01522827148438,40.70966339111328,-73.98857116699219,40.693035125732415,N,937,0.4473594413122271
7217,id0956017,2,2016-01-30 15:48:56,2016-01-30 16:15:34,1,-74.0142822265625,40.70447158813477,-73.9826889038086,40.760250091552734,N,1598,0.4213081761989865
7305,id0942330,1,2016-04-14 20:37:51,2016-04-14 21:05:27,1,-74.0115966796875,40.70953369140625,-73.97636413574219,40.66784286499024,N,1656,0.2556528773384819
7478,id2454479,2,2016-06-18 10:47:39,2016-06-18 11:13:32,1,-74.01515197753906,40.70471954345703,-73.9861602783203,40.75777053833008,N,1553,0.4556374757924155
7486,id3164177,1,2016-06-06 22:30:58,2016-06-06 22:44:36,1,-74.00828552246094,40.708831787109375,-73.98979187011719,40.73540496826172,N,818,0.2828560450815669
7653,id3902489,2,2016-05-09 09:10:30,2016-05-09 09:21:55,3,-74.01509094238281,40.70923614501953,-73.99749755859375,40.72582626342773,N,685,0.4111326238854841
7712,id0363884,1,2016-05-07 21:01:54,2016-05-07 21:22:29,1,-74.0108413696289,40.7115592956543,-73.98577880859375,40.7529411315918,N,1235,0.4753340007957252
8060,id2622771,1,2016-06-27 10:51:15,2016-06-27 11:02:19,1,-74.0095977783203,40.70966339111328,-73.9898910522461,40.69993591308594,N,664,0.28778608454091564
8081,id0470895,1,2016-01-11 21:53:05,2016-01-11 22:07:38,1,-74.00745391845702,40.70478439331055,-73.93579864501955,40.8120002746582,N,873,0.40599375742578603
8097,id1406801,1,2016-03-26 17:05:51,2016-03-26 17:22:16,1,-74.01055145263672,40.709632873535156,-73.96453857421875,40.7641716003418,N,985,0.26296127486028087
8105,id1348804,1,2016-01-09 14:29:19,2016-01-09 14:50:15,1,-74.00906372070312,40.70403671264648,-73.97247314453125,40.78237915039063,N,1256,0.39558442978619757
8126,id2037873,2,2016-04-20 12:54:17,2016-04-20 13:23:44,1,-74.01128387451173,40.70317077636719,-73.97174072265625,40.76232528686523,N,1767,0.4594047922753361
8184,id0002201,2,2016-05-30 14:02:26,2016-05-30 14:17:11,5,-74.0127410888672,40.706031799316406,-73.99105072021484,40.71488952636719,N,885,0.20605858104176364
8213,id1856144,2,2016-05-02 15:11:49,2016-05-02 15:47:18,2,-74.00833129882812,40.7055892944336,-73.97664642333984,40.79039001464844,N,2129,0.29098642709370975
8250,id3980019,1,2016-03-04 08:02:52,2016-03-04 08:13:16,1,-74.00802612304686,40.70508575439453,-74.00131225585938,40.71561813354492,N,624,0.3479706840270996
8272,id1835809,1,2016-03-27 06:34:00,2016-03-27 06:50:45,1,-74.0091094970703,40.71082305908203,-73.96526336669923,40.76589584350585,N,1005,0.4228434559545896
8322,id0632586,1,2016-01-27 08:40:52,2016-01-27 09:14:07,1,-74.01673889160156,40.70821380615234,-73.96845245361328,40.75720977783203,N,1995,0.4991939229895241
8470,id0453626,1,2016-06-28 18:29:57,2016-06-28 18:39:30,1,-74.00692749023438,40.70569610595703,-73.98381805419923,40.71488952636719,N,573,0.38301433719498196
8604,id1938624,1,2016-04-26 19:00:28,2016-04-26 19:18:28,1,-74.00838470458984,40.704193115234375,-73.95143127441406,40.77775573730469,N,1080,0.40706823436642764
8681,id0018740,2,2016-06-29 19:45:10,2016-06-29 19:58:08,1,-74.00978851318358,40.71028518676758,-74.00105285644531,40.74188232421875,N,778,0.3475221164520115
8826,id1039791,2,2016-02-19 19:08:49,2016-02-19 19:15:56,1,-74.012939453125,40.70943069458008,-74.0051498413086,40.718910217285156,N,427,0.291491192812271
8839,id1381253,1,2016-06-26 19:58:10,2016-06-26 20:04:50,1,-74.01129150390625,40.70338439941406,-73.99929809570312,40.71599197387695,N,400,0.435714203381165
9003,id1128827,1,2016-06-25 17:55:38,2016-06-25 18:23:09,2,-74.01200103759766,40.70522689819336,-73.99272155761719,40.7304573059082,N,1651,0.24618964170752514
9031,id2377470,1,2016-06-06 13:03:55,2016-06-06 13:10:44,1,-74.00895690917969,40.70393753051758,-74.01527404785155,40.71147537231445,N,409,0.40933645561481585
9058,id0176501,2,2016-01-07 00:55:28,2016-01-07 01:18:52,1,-74.01168060302734,40.70783996582031,-73.89663696289062,40.71023941040039,N,1404,0.0868838809641515
9373,id3532514,2,2016-05-24 19:39:41,2016-05-24 20:00:32,1,-74.00885009765625,40.71081161499024,-73.97267913818358,40.6784782409668,N,1251,0.4302023991956258
9403,id0534830,2,2016-03-30 10:30:15,2016-03-30 10:41:12,2,-74.0079574584961,40.71030044555664,-74.00116729736328,40.724098205566406,N,657,0.41960260957078493
9413,id0293507,1,2016-01-20 08:03:10,2016-01-20 08:26:55,1,-74.00859832763672,40.70798873901367,-73.97624206542969,40.75369644165039,N,1425,0.2131418980703314
9456,id3603083,2,2016-05-20 14:07:40,2016-05-20 15:23:08,5,-74.00599670410156,40.705162048339844,-73.77760314941406,40.644718170166016,N,4528,0.4804406242905108
9596,id3669399,2,2016-02-26 13:50:36,2016-02-26 13:59:31,1,-74.00798034667969,40.7054557800293,-74.01565551757811,40.71561813354492,N,535,0.3232449552984787
9697,id2924857,1,2016-05-20 06:42:11,2016-05-20 06:48:13,1,-74.00741577148438,40.70380401611328,-74.0146484375,40.71807861328125,N,362,0.4894178729488924
9815,id3622157,2,2016-03-04 20:31:21,2016-03-04 20:41:41,5,-74.00711822509766,40.70695114135742,-74.00647735595702,40.732505798339844,N,620,0.32553441893673585
9864,id3462335,2,2016-05-24 22:20:59,2016-05-24 22:38:04,1,-74.0082778930664,40.70466995239258,-73.94078826904298,40.80836868286133,N,1025,0.36865701122222844
9909,id1925427,1,2016-03-04 10:00:50,2016-03-04 10:27:53,1,-74.00944519042969,40.71009826660156,-74.01342010498048,40.62290573120117,N,1623,0.33741304149821727
9911,id1465386,1,2016-03-25 22:33:58,2016-03-25 22:47:51,1,-74.01080322265625,40.708740234375,-73.9997787475586,40.73331069946289,N,833,0.16191030327992767
9933,id0264842,2,2016-05-17 07:26:27,2016-05-17 07:48:04,1,-74.0162811279297,40.70643997192383,-73.97808074951173,40.75279998779297,N,1297,0.45970875303298614
9975,id3549678,2,2016-06-04 21:46:27,2016-06-04 21:59:50,2,-74.01310729980467,40.70537185668945,-74.00567626953125,40.74663543701172,N,803,0.2805919890888247
9981,id2697235,1,2016-01-24 19:36:18,2016-01-24 19:47:13,1,-74.00968170166014,40.71072769165039,-74.0059585571289,40.73573684692383,N,655,0.39735736014426937
9988,id1825810,2,2016-02-29 02:40:18,2016-02-29 03:13:46,1,-74.01290130615234,40.70801162719727,-73.7439193725586,40.70708847045898,N,2008,0.18320799443277916
10038,id3413532,2,2016-05-31 14:16:42,2016-05-31 14:22:15,1,-74.01512145996094,40.70495223999024,-74.01397705078125,40.71266555786133,N,333,0.43775880656738325
10111,id2232951,1,2016-03-19 18:53:45,2016-03-19 19:16:28,1,-74.00614929199219,40.70846557617188,-73.98565673828125,40.75215530395508,N,1363,0.4257118718750808
10120,id3523188,2,2016-01-05 13:54:33,2016-01-05 14:19:40,5,-74.00949859619139,40.71038818359375,-73.9736099243164,40.76333999633789,N,1507,0.3659812750827505
10172,id0787729,2,2016-02-29 08:00:53,2016-02-29 08:31:22,1,-74.00971221923827,40.70571899414063,-73.86499786376955,40.7705192565918,N,1829,0.2036978123338345
10387,id2765795,2,2016-02-27 19:41:55,2016-02-27 19:49:18,6,-74.00896453857422,40.711097717285156,-74.00128936767578,40.73115539550781,N,443,0.4557732131040062
10425,id0340632,2,2016-05-20 12:08:39,2016-05-20 12:20:05,1,-74.00734710693358,40.705055236816406,-74.01004791259766,40.72126007080078,N,686,0.3928366098533803
10452,id2920122,2,2016-06-12 17:47:52,2016-06-12 17:50:12,4,-74.01345825195312,40.70880126953125,-74.01284790039062,40.716251373291016,N,140,0.27036799126900257
10472,id0352061,1,2016-02-15 13:12:33,2016-02-15 13:33:30,1,-74.00982666015625,40.7065544128418,-74.0035400390625,40.75070571899415,N,1257,0.12526179817179037
10504,id2954876,1,2016-05-08 17:30:50,2016-05-08 18:04:42,1,-74.01040649414062,40.70332717895508,-73.95471954345702,40.80434036254883,N,2032,0.4435076259472607
10551,id0202918,2,2016-03-08 13:54:37,2016-03-08 13:58:48,2,-74.00863647460938,40.71112823486328,-74.00560760498048,40.71675109863281,N,251,0.4697473791531028
10565,id3696128,2,2016-04-16 00:23:55,2016-04-16 00:53:25,1,-74.01089477539062,40.70320129394531,-73.95906829833984,40.77216339111328,N,1770,0.45516675694194086
10625,id3276306,1,2016-02-06 06:53:11,2016-02-06 06:58:21,1,-74.00892639160156,40.71105194091797,-74.00433349609375,40.7132568359375,N,310,0.45224371319895773
10635,id1080578,2,2016-02-22 18:59:47,2016-02-22 19:17:07,1,-74.01306915283203,40.70421981811523,-74.00182342529298,40.74123001098633,N,1040,0.3857220626207154
10824,id0576589,1,2016-06-23 19:55:48,2016-06-23 20:13:39,1,-74.01001739501955,40.70551681518555,-73.99365234375,40.740665435791016,N,1071,0.21249596474026902
10846,id0505559,1,2016-06-22 22:32:34,2016-06-22 22:50:45,1,-74.00933074951173,40.70501708984375,-73.96414184570312,40.710426330566406,N,1091,0.2875531409462867
10865,id1971173,1,2016-03-30 23:17:34,2016-03-30 23:23:50,1,-74.00659942626955,40.70682907104492,-74.00491333007811,40.7236557006836,N,376,0.3706886156652812
10920,id1887225,2,2016-06-21 20:35:20,2016-06-21 20:47:50,1,-74.012939453125,40.70792007446289,-73.9586410522461,40.760250091552734,N,750,0.18193999240917763
10958,id0147170,2,2016-04-04 14:32:40,2016-04-04 14:42:02,2,-74.00980377197266,40.70330810546875,-74.01006317138672,40.72084045410156,N,562,0.45368397908795904
10990,id2697198,2,2016-03-09 14:03:29,2016-03-09 14:22:18,4,-74.00602722167969,40.70610809326172,-73.9510498046875,40.78599166870117,N,1129,0.4357446110334711
11100,id1520286,2,2016-06-12 16:18:29,2016-06-12 16:30:00,1,-74.00995635986328,40.70927810668945,-73.98757934570312,40.722747802734375,N,691,0.2366609679267018
11218,id0777462,1,2016-06-03 08:19:41,2016-06-03 08:47:16,1,-74.00728607177734,40.70796585083008,-73.9823226928711,40.754070281982415,N,1655,0.31819757022291195
11383,id1424826,2,2016-05-06 04:20:25,2016-05-06 04:25:04,2,-74.01464080810547,40.71004104614258,-74.01062774658203,40.71783828735352,N,279,0.4367794199561826
11438,id1263746,1,2016-03-10 13:45:18,2016-03-10 13:50:35,1,-74.01592254638672,40.70510482788085,-74.0101547241211,40.72157287597656,N,317,0.4850177267396362
11547,id0319495,1,2016-04-24 10:56:05,2016-04-24 11:04:37,1,-74.0079345703125,40.70807266235352,-73.99586486816406,40.72067642211913,N,512,0.2689549170915849
11607,id0397289,2,2016-06-19 15:32:11,2016-06-19 15:37:14,6,-74.00685119628906,40.70959091186523,-74.00798797607422,40.70499038696289,N,303,0.4303806922410307
11778,id0754252,1,2016-05-07 14:38:20,2016-05-07 14:44:41,1,-74.01331329345702,40.7074089050293,-74.01435089111328,40.7100715637207,N,381,0.1998629354945655
11790,id2679535,2,2016-06-30 18:55:24,2016-06-30 19:23:35,5,-74.0103988647461,40.711589813232415,-73.98606109619139,40.76807022094727,N,1691,0.4808966999924919
11845,id2983686,1,2016-04-16 20:48:47,2016-04-16 21:03:59,1,-74.00637817382812,40.70918273925781,-73.99205017089844,40.726089477539055,N,912,0.43956939121170924
11874,id0146711,1,2016-02-24 23:41:56,2016-02-24 23:51:32,1,-74.00826263427734,40.70414352416992,-73.9919662475586,40.68969345092773,N,576,0.41726145588996955
11959,id3148313,2,2016-05-17 14:09:52,2016-05-17 14:20:28,1,-74.00569915771484,40.7081184387207,-74.00151824951173,40.716068267822266,N,636,0.45257982503094984
12042,id2704865,2,2016-03-14 17:16:07,2016-03-14 18:01:40,1,-74.00675964355469,40.70555877685547,-73.9805679321289,40.787540435791016,N,2733,0.4027092433932323
12076,id3575294,2,2016-02-04 13:38:35,2016-02-04 14:05:19,1,-74.00977325439453,40.70616149902344,-73.99346160888672,40.734539031982415,N,1604,0.16012847339306613
12319,id0937769,2,2016-04-22 14:35:25,2016-04-22 15:12:44,1,-74.01487731933594,40.70966339111328,-73.97441864013672,40.7642936706543,N,2239,0.42382225363799186
12442,id0637404,2,2016-02-23 12:09:18,2016-02-23 12:33:50,1,-74.00952911376955,40.70447158813477,-73.98905181884766,40.74396133422852,N,1472,0.3358687815258623
12511,id0879517,1,2016-01-29 22:15:13,2016-01-29 22:33:57,1,-74.0115509033203,40.703372955322266,-73.9446563720703,40.71154403686523,N,1124,0.43897267934737316
12575,id1681800,2,2016-02-07 00:03:33,2016-02-07 00:15:10,1,-74.00931549072266,40.70618057250977,-73.9898681640625,40.72218704223633,N,697,0.18513743732542776
12631,id3275181,1,2016-01-16 16:50:28,2016-01-16 17:05:14,2,-74.01465606689453,40.70470428466797,-73.98171997070312,40.67122650146485,N,886,0.42503453350966724
12771,id3212280,1,2016-06-10 22:54:26,2016-06-10 23:04:38,1,-74.00918579101562,40.70381927490234,-74.00695037841797,40.70533752441406,N,612,0.4140421590822751
